"street","city","zip","lat","long","accuracy","status"
"201 Harrison Street #510","San Francisco",94105,37.788136,-122.390335,8,200
"201 Harrison Street #901","San Francisco",94105,37.788136,-122.390335,8,200
"950 Harrison Street #120","San Francisco",94107,37.778105,-122.403051,8,200
"342 Hayes Street #J","San Francisco",94102,37.77703,-122.422005,8,200
"186 Idora Avenue","San Francisco",94127,37.744531,-122.458768,8,200
"1620 Jennings Street","San Francisco",94124,37.729995,-122.386309,8,200
"1250 Jones Street #903","San Francisco",94109,37.793057,-122.414073,8,200
"1515 Judah Street","San Francisco",94122,37.76139,-122.478407,8,200
"556 Judson Avenue","San Francisco",94112,37.728707,-122.45354,8,200
"67 Karen Court","San Francisco",94134,37.723565,-122.406301,8,200
"420 Laidley Street","San Francisco",94131,37.736812,-122.429956,8,200
"3400 Lawton Street","San Francisco",94122,37.757107,-122.499495,8,200
"1243 Leavenworth Street","San Francisco",94109,37.792687,-122.416287,8,200
"30 Levant Street","San Francisco",94114,37.764651,-122.44258,8,200
"150 Lombard Street #42","San Francisco",94111,37.804431,-122.404265,8,200
"373 Lombard Street #402","San Francisco",94133,37.803272,-122.407826,8,200
"115 Lyon Street","San Francisco",94117,37.772036,-122.44225,8,200
"1 Margaret Avenue","San Francisco",94112,37.718432,-122.451359,8,200
"134 Margaret Avenue","San Francisco",94112,37.716994,-122.453306,8,200
"2001 McAllister Street #109","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #205","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #212","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #309","San Francisco",94118,37.776986,-122.444971,8,200
"49 Missouri Street #6","San Francisco",94107,37.765924,-122.396533,8,200
"1426 Newcomb Avenue","San Francisco",94124,37.733589,-122.386371,8,200
"33 Noe Street","San Francisco",94114,37.768579,-122.433111,8,200
"1404 Noe Street","San Francisco",94131,37.746438,-122.431692,8,200
"307 Oak Street","San Francisco",94102,37.774553,-122.424742,8,200
"631 Ofarrell Street #1104","San Francisco",94109,37.78524,-122.41512,8,200
"631 Ofarrell Street #507","San Francisco",94109,37.78524,-122.41512,8,200
"2200 Pacific Avenue #3E","San Francisco",94115,37.793994,-122.431812,8,200
"958 Page Street","San Francisco",94117,37.772302,-122.43654,8,200
"918 Plymouth Avenue","San Francisco",94112,37.718613,-122.455816,8,200
"1665 Plymouth Avenue","San Francisco",94127,37.732202,-122.457981,8,200
"2509 Polk Street","San Francisco",94109,37.799931,-122.422607,8,200
"254 Prague Street","San Francisco",94112,37.718189,-122.428103,8,200
"18 Quintara Street","San Francisco",94116,37.74923,-122.466076,8,200
"111 Robinhood Drive","San Francisco",94127,37.737112,-122.456765,8,200
"1969 San Jose Avenue","San Francisco",94112,37.725425,-122.442294,8,200
"36 Sanchez Street","San Francisco",94114,37.768642,-122.431329,8,200
"871 Sanchez Street","San Francisco",94114,37.755211,-122.429682,8,200
"307 Santa Ana Avenue","San Francisco",94127,37.731571,-122.467574,8,200
"240 Scott Street","San Francisco",94117,37.772153,-122.435206,8,200
"140 Sea Cliff Avenue","San Francisco",94121,37.789058,-122.487309,8,200
"321 Shields Street","San Francisco",94132,37.717707,-122.46574,8,200
"633 Shields Street","San Francisco",94132,37.717692,-122.468619,8,200
"140 South Van Ness Avenue #301","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #303","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #315","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #317","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #333","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #347","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #407","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #411","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #426","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #509","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #511","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #547","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #637","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #643","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #717","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue","San Francisco",94103,37.771601,-122.418243,8,200
"59 States Street","San Francisco",94114,37.763423,-122.436608,8,200
"2511 Steiner Street","San Francisco",94115,37.792528,-122.436449,8,200
"946 Stockton Street #160","San Francisco",94108,37.794641,-122.408041,8,200
"280 Surrey Street","San Francisco",94131,37.736019,-122.436402,8,200
"1483 Sutter Street #1503","San Francisco",94109,37.787167,-122.424149,8,200
"468 Tehama Street #8","San Francisco",94103,37.780048,-122.406151,8,200
"2471 Vallejo Street","San Francisco",94123,37.794638,-122.437818,8,200
"50 Valley Street","San Francisco",94110,37.744948,-122.423372,8,200
"554 Valley Street","San Francisco",94131,37.744266,-122.434696,8,200
"708 Vermont Street","San Francisco",94107,37.760487,-122.404411,8,200
"83 Warren Drive","San Francisco",94131,37.753745,-122.456916,8,200
"400 Yerba Buena Avenue","San Francisco",94127,37.732311,-122.458836,8,200
"1539 10th Avenue","San Francisco",94122,37.759489,-122.467398,8,200
"454 16th Avenue","San Francisco",94118,37.779448,-122.474691,8,200
"1227 17th Avenue","San Francisco",94122,37.764953,-122.475404,8,200
"2760 19th Avenue #27","San Francisco",94132,37.736679,-122.475198,8,200
"3858 19th Avenue","San Francisco",94132,37.718687,-122.473492,8,200
"131 22nd Avenue","San Francisco",94121,37.785254,-122.48221,8,200
"610 23rd Avenue","San Francisco",94121,37.77613,-122.482036,8,200
"1627 23rd Avenue","San Francisco",94122,37.757216,-122.481308,8,200
"2379 25th Avenue","San Francisco",94116,37.743171,-122.482479,8,200
"2981 26th Street #1","San Francisco",94110,37.749365,-122.409598,8,200
"114 28th Street","San Francisco",94131,37.745444,-122.425067,8,200
"665 29th Street","San Francisco",94131,37.742967,-122.434693,8,200
"461 2nd Street #454","San Francisco",94107,37.783359,-122.393766,8,200
"533 2nd Street","San Francisco",94107,37.782727,-122.392774,8,200
"684 30th Avenue","San Francisco",94121,37.776362,-122.489658,8,200
"1470 33rd Avenue","San Francisco",94122,37.759746,-122.491578,8,200
"2591 33rd Avenue","San Francisco",94116,37.738865,-122.490693,8,200
"2499 34th Avenue","San Francisco",94116,37.740713,-122.49183,8,200
"1427 37th Avenue","San Francisco",94122,37.760281,-122.49659,8,200
"1490 38th Avenue","San Francisco",94122,37.759165,-122.496952,8,200
"300 3rd Street #503","San Francisco",94107,37.783511,-122.398939,8,200
"2683 47th Avenue","San Francisco",94116,37.736471,-122.505615,8,200
"1442 48th Avenue","San Francisco",94122,37.759467,-122.507678,8,200
"428 8th Avenue #201","San Francisco",94118,37.78027,-122.466408,8,200
"239 8th Street #13","San Francisco",94103,37.775784,-122.41108,8,200
"1813 9th Avenue","San Francisco",94122,37.754356,-122.465857,8,200
"151 Alice B Toklas Place #512","San Francisco",94109,37.785335,-122.42046,8,200
"741 Athens Street","San Francisco",94112,37.716227,-122.432176,8,200
"2846 Baker Street","San Francisco",94123,37.797535,-122.445471,8,200
"21 Balhi Court","San Francisco",94112,37.72121,-122.439808,8,200
"146 Blake Street #2","San Francisco",94118,37.781346,-122.450675,8,200
"10 Borica Street","San Francisco",94127,37.721937,-122.468266,8,200
"219 Brannan Street #9K","San Francisco",94107,37.783028,-122.389927,8,200
"2580 Broadway Street","San Francisco",94115,37.793884,-122.439722,8,200
"836 Brussels Street","San Francisco",94134,37.721737,-122.403683,8,200
"2423 Buchanan Street","San Francisco",94115,37.792409,-122.4312,8,200
"900 Bush Street #407","San Francisco",94109,37.789733,-122.412374,8,200
"2696 Bush Street","San Francisco",94115,37.786003,-122.441635,8,200
"1817 California Street #2B","San Francisco",94109,37.789584,-122.424523,8,200
"47 Carl Street","San Francisco",94117,37.765714,-122.448791,8,200
"333 Carl Street","San Francisco",94117,37.765157,-122.455014,8,200
"740 Church Street","San Francisco",94114,37.758996,-122.428711,8,200
"60 Clarendon Avenue","San Francisco",94114,37.759022,-122.450483,8,200
"3511 Clay Street","San Francisco",94118,37.788342,-122.450715,8,200
"116 Clifford Terrace","San Francisco",94117,37.764075,-122.444764,8,200
"150 Conrad Street","San Francisco",94131,37.736665,-122.436275,8,200
"955 Corbett Avenue #12","San Francisco",94131,37.751588,-122.44339,8,200
"220 Danvers Street","San Francisco",94114,37.759332,-122.443105,8,200
"379 Dellbrook Avenue","San Francisco",94131,37.753015,-122.452493,8,200
"5150 Diamond Heights Boulevard #B103","San Francisco",94131,37.746441,-122.440418,8,200
"2605 Diamond Street","San Francisco",94131,37.737124,-122.434446,8,200
"3417 Divisadero Street","San Francisco",94123,37.801188,-122.443085,8,200
"3542 Divisadero Street #1","San Francisco",94123,37.802482,-122.443049,8,200
"77 Dow Place #102","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #111","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #1307","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #301","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #503","San Francisco",94107,37.784563,-122.396374,8,200
"77 Dow Place #511","San Francisco",94107,37.784563,-122.396374,8,200
"263 Duncan Street","San Francisco",94131,37.746063,-122.426118,8,200
"548 Duncan Street #201","San Francisco",94131,37.74601,-122.432463,8,200
"779 Duncan Street","San Francisco",94131,37.745237,-122.437415,8,200
"356 Ewing Terrace","San Francisco",94118,37.779466,-122.447874,8,200
"172 Fairmount Street","San Francisco",94131,37.739128,-122.426899,8,200
"195 Farnum Street","San Francisco",94131,37.738196,-122.433707,8,200
"280 Faxon Avenue","San Francisco",94112,37.719715,-122.45997,8,200
"2456 Folsom Street","San Francisco",94110,37.757986,-122.414959,8,200
"1310 Fulton Street #208","San Francisco",94117,37.776794,-122.438737,8,200
"755 Gates Street","San Francisco",94110,37.733818,-122.41421,8,200
"1131 Gilman Avenue","San Francisco",94124,37.719443,-122.390809,8,200
"999 Green Street #904","San Francisco",94133,37.798451,-122.415218,8,200
"1380 Greenwich Street #106","San Francisco",94109,37.80096,-122.422447,8,200
"1262 Hampshire Street","San Francisco",94110,37.752008,-122.407253,8,200
"201 Harrison Street #311","San Francisco",94105,37.788136,-122.390335,8,200
"920 Harrison Street #12","San Francisco",94107,37.778674,-122.402506,8,200
"2412 Harrison Street","San Francisco",94110,37.758645,-122.412457,8,200
"35 Hartford Street #2","San Francisco",94114,37.761948,-122.434013,8,200
"940 Lawton Street","San Francisco",94122,37.759462,-122.473041,8,200
"545 Leavenworth Street #3","San Francisco",94109,37.786092,-122.414742,8,200
"2555 Leavenworth Street #306","San Francisco",94133,37.803168,-122.418129,6,200
"177 Liberty Street","San Francisco",94110,37.757226,-122.425012,8,200
"567 London Street","San Francisco",94112,37.720042,-122.436919,8,200
"165 Margaret Avenue","San Francisco",94112,37.716407,-122.453136,8,200
"1813 Mason Street","San Francisco",94133,37.800234,-122.412741,8,200
"1773 McAllister Street","San Francisco",94115,37.777214,-122.441083,8,200
"2001 McAllister Street #13","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #209","San Francisco",94118,37.776986,-122.444971,8,200
"1719 McKinnon Avenue","San Francisco",94124,37.737092,-122.391936,8,200
"701 Minna Street #7","San Francisco",94103,37.776793,-122.412844,8,200
"743 Minna Street","San Francisco",94103,37.776383,-122.413158,8,200
"425 Miramar Avenue","San Francisco",94112,37.725424,-122.458494,8,200
"4801 Mission Street","San Francisco",94112,37.721576,-122.437219,8,200
"453 Mississippi Street","San Francisco",94107,37.760716,-122.394411,8,200
"455 Mississippi Street","San Francisco",94107,37.760713,-122.394095,8,200
"1047 Mississippi Street #1","San Francisco",94107,37.753028,-122.393791,8,200
"345 Moncada Way","San Francisco",94127,37.729377,-122.470066,8,200
"370 Monterey Boulevard #101","San Francisco",94131,37.731302,-122.443593,8,200
"32 Natick Street","San Francisco",94131,37.734446,-122.431852,8,200
"555 Natoma Street #4","San Francisco",94103,37.779021,-122.408896,8,200
"138 Navajo Avenue","San Francisco",94112,37.720987,-122.445308,8,200
"125 Naylor Street","San Francisco",94112,37.710642,-122.433092,8,200
"208 North Lake Merced Hills #3B","San Francisco",94132,37.711655,-122.484192,8,200
"2209 North Point Street","San Francisco",94123,37.802501,-122.443853,8,200
"745 Panorama Drive","San Francisco",94131,37.753195,-122.454041,8,200
"123 Peralta Avenue","San Francisco",94110,37.747171,-122.4074,8,200
"1274 Plymouth Avenue","San Francisco",94112,37.725557,-122.456246,8,200
"1135 Quintara Street","San Francisco",94116,37.748357,-122.477821,8,200
"533 Randolph Street","San Francisco",94132,37.71405,-122.467671,8,200
"55 Red Rock Way #O104","San Francisco",94131,37.746035,-122.441079,8,200
"175 Red Rock Way #204K","San Francisco",94131,37.745822,-122.441873,8,200
"941 Rolph Street","San Francisco",94112,37.71097,-122.427767,8,200
"2205 Sacramento Street #303","San Francisco",94115,37.790134,-122.429508,8,200
"140 San Rafael Way","San Francisco",94127,37.732654,-122.47072,8,200
"1507 Sanchez Street","San Francisco",94131,37.74499,-122.428703,8,200
"50 Santa Ana Avenue","San Francisco",94127,37.736257,-122.46831,8,200
"212 Santa Paula Avenue","San Francisco",94127,37.736568,-122.463243,8,200
"80 Scotia Avenue","San Francisco",94124,37.733282,-122.401314,8,200
"130 Sea Cliff Avenue","San Francisco",94121,37.789098,-122.487162,8,200
"710 Silliman Street","San Francisco",94134,37.729529,-122.4126,8,200
"140 South Van Ness Avenue #211","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #645","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #726","San Francisco",94103,37.771601,-122.418243,8,200
"1338 Thomas Avenue","San Francisco",94124,37.727865,-122.386258,8,200
"33 Topaz Way","San Francisco",94131,37.742456,-122.437112,8,200
"3175 Turk Boulevard","San Francisco",94118,37.777197,-122.458082,8,200
"1860 Washington Street #201","San Francisco",94109,37.793189,-122.423934,8,200
"1860 Washington Street #301","San Francisco",94109,37.793189,-122.423934,8,200
"35 Whitney Street","San Francisco",94131,37.741159,-122.427494,8,200
"1322 10th Avenue","San Francisco",94122,37.763493,-122.467019,8,200
"2321 16th Avenue","San Francisco",94116,37.744582,-122.473129,8,200
"2379 16th Avenue","San Francisco",94116,37.743663,-122.472914,8,200
"3427 16th Street","San Francisco",94114,37.764207,-122.42988,8,200
"4624 19th Street","San Francisco",94114,37.759191,-122.441271,8,200
"4176 20th Street","San Francisco",94114,37.757881,-122.434184,8,200
"140 23rd Avenue","San Francisco",94121,37.785098,-122.482618,8,200
"2250 24th Street #220","San Francisco",94107,37.753272,-122.401961,8,200
"4007 25th Street","San Francisco",94114,37.749775,-122.429763,8,200
"1466 27th Avenue","San Francisco",94122,37.760098,-122.485153,8,200
"1938 34th Avenue","San Francisco",94116,37.75092,-122.492033,8,200
"1855 35th Avenue","San Francisco",94122,37.752434,-122.493875,8,200
"1335 39th Avenue","San Francisco",94122,37.761913,-122.498835,8,200
"2068 3rd Street #1","San Francisco",94107,37.763451,-122.389114,8,200
"1647 42nd Avenue","San Francisco",94122,37.755973,-122.501643,8,200
"1810 42nd Avenue","San Francisco",94122,37.752869,-122.500853,8,200
"2078 42nd Avenue","San Francisco",94116,37.74799,-122.500427,8,200
"2435 44th Avenue","San Francisco",94116,37.741164,-122.502758,8,200
"1680 48th Avenue","San Francisco",94122,37.755203,-122.507377,8,200
"2178 48th Avenue","San Francisco",94116,37.745842,-122.506731,8,200
"239 8th Street #7","San Francisco",94103,37.775784,-122.41108,8,200
"215 Arkansas Street","San Francisco",94107,37.763421,-122.398241,8,200
"392 Baltimore Way","San Francisco",94112,37.709645,-122.439375,8,200
"400 Beale Street #1212","San Francisco",94105,37.787459,-122.39117,8,200
"400 Beale Street #1807","San Francisco",94105,37.787459,-122.39117,8,200
"211 Beverly Street","San Francisco",94132,37.719961,-122.471953,8,200
"229 Brannan Street #6E","San Francisco",94107,37.782863,-122.390787,8,200
"1085 Broadway","San Francisco",94133,37.796651,-122.414827,8,200
"1998 Broadway #1006","San Francisco",94109,37.795276,-122.429788,8,200
"2025 Broderick Street #2","San Francisco",94115,37.789134,-122.442731,8,200
"355 Bryant Street #106","San Francisco",94107,37.783551,-122.392422,8,200
"500 Bryant Street #103","San Francisco",94107,37.781318,-122.395878,8,200
"500 Bryant Street #104","San Francisco",94107,37.781318,-122.395878,8,200
"3115 Buchanan Street","San Francisco",94123,37.798728,-122.432484,8,200
"2117 Bush Street #1","San Francisco",94115,37.786855,-122.432499,8,200
"4120 Cabrillo Street","San Francisco",94121,37.77383,-122.502998,8,200
"2211 California Street #303","San Francisco",94115,37.788961,-122.430971,8,200
"130 Campbell Avenue","San Francisco",94134,37.715188,-122.401214,8,200
"415 Capistrano Avenue","San Francisco",94112,37.725135,-122.43865,8,200
"672 Carolina Street","San Francisco",94107,37.759981,-122.400168,8,200
"73 Carver Street","San Francisco",94110,37.742053,-122.409855,8,200
"781 Cayuga Avenue","San Francisco",94112,37.725519,-122.437401,8,200
"530 Chestnut Street #C209","San Francisco",94133,37.803903,-122.412242,8,200
"680 Clarendon Avenue","San Francisco",94131,37.752239,-122.4583,8,200
"2539 Clay Street #5","San Francisco",94115,37.790361,-122.434831,8,200
"396 Connecticut Street","San Francisco",94107,37.761293,-122.397376,8,200
"226 Cresta Vista Drive","San Francisco",94127,37.735489,-122.454774,8,200
"236 Cresta Vista Drive","San Francisco",94127,37.735453,-122.454491,8,200
"244 Cresta Vista Drive","San Francisco",94127,37.735376,-122.454418,8,200
"45 Cumberland Street","San Francisco",94110,37.759126,-122.424571,8,200
"1 Daniel Burnham Court #820","San Francisco",94109,37.786958,-122.422532,8,200
"120 Divisadero Street #301","San Francisco",94117,37.769321,-122.436663,8,200
"146 Elsie Street","San Francisco",94110,37.742212,-122.418294,8,200
"926 Esmeralda Avenue","San Francisco",94110,37.743562,-122.409658,8,200
"328 Eureka Street","San Francisco",94114,37.756872,-122.438228,8,200
"127 Farnum Street","San Francisco",94131,37.739097,-122.433902,8,200
"246 Flood Avenue","San Francisco",94112,37.730144,-122.445392,8,200
"855 Folsom Street #509","San Francisco",94107,37.780951,-122.402502,8,200
"1330 Francisco Street","San Francisco",94123,37.803209,-122.42721,8,200
"453 Fulton Street #A","San Francisco",94102,37.778654,-122.424327,8,200
"1258 Geneva Avenue","San Francisco",94112,37.713498,-122.435292,8,200
"2013 Grant Avenue","San Francisco",94133,37.805535,-122.408724,8,200
"201 Harrison Street #512","San Francisco",94105,37.788136,-122.390335,8,200
"1613 Ingalls Street","San Francisco",94124,37.728959,-122.384203,8,200
"1066 Ingerson Avenue","San Francisco",94124,37.720008,-122.394066,8,200
"1461 Jefferson Street","San Francisco",94123,37.805277,-122.436524,8,200
"565 Jersey Street","San Francisco",94114,37.750033,-122.437545,8,200
"157 Kensington Way","San Francisco",94127,37.741726,-122.460752,8,200
"151 Lansdale Avenue","San Francisco",94127,37.738316,-122.460389,8,200
"150 Lombard Street #504D","San Francisco",94111,37.804431,-122.404265,8,200
"240 Lombard Street #233","San Francisco",94111,37.803727,-122.405733,8,200
"1563 Lombard Street","San Francisco",94123,37.800697,-122.427149,8,200
"51 Lydia Avenue","San Francisco",94124,37.727252,-122.398231,8,200
"205 Madison Street","San Francisco",94134,37.726421,-122.422483,8,200
"718 Madrid Street","San Francisco",94112,37.718292,-122.435662,8,200
"2001 McAllister Street #105","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #108","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #237","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #245","San Francisco",94118,37.776986,-122.444971,8,200
"2001 McAllister Street #313","San Francisco",94118,37.776986,-122.444971,8,200
"95 Midcrest Way","San Francisco",94131,37.748214,-122.449457,8,200
"972 Minnesota Street","San Francisco",94107,37.758206,-122.390558,8,200
"1460 Monterey Boulevard","San Francisco",94127,37.732415,-122.464119,8,200
"1601 Monterey Boulevard","San Francisco",94127,37.732721,-122.465927,8,200
"120 Niagara Avenue","San Francisco",94112,37.717416,-122.443645,8,200
"258 Noe Street","San Francisco",94114,37.764833,-122.433474,8,200
"1329 Noe Street","San Francisco",94131,37.747816,-122.431243,8,200
"631 Ofarrell Street #303","San Francisco",94109,37.78524,-122.41512,8,200
"2090 Pacific Avenue #303","San Francisco",94109,37.79431,-122.42961,8,200
"2322 Pine Street","San Francisco",94115,37.788121,-122.434152,8,200
"151 Precita Avenue","San Francisco",94110,37.747417,-122.417246,8,200
"1370 Revere Avenue","San Francisco",94124,37.729394,-122.38562,8,200
"1236 Rhode Island Street #11","San Francisco",94107,37.754314,-122.401555,8,200
"1337 Rhode Island Street","San Francisco",94107,37.752778,-122.401108,8,200
"1357 San Bruno Avenue","San Francisco",94110,37.752409,-122.403983,8,200
"27 San Jacinto Way","San Francisco",94127,37.734837,-122.463008,8,200
"140 South Van Ness Avenue #402","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #504","San Francisco",94103,37.771601,-122.418243,8,200
"140 South Van Ness Avenue #611","San Francisco",94103,37.771601,-122.418243,8,200
"1000 Steiner Street #203","San Francisco",94115,37.778453,-122.433423,8,200
"1483 Sutter Street #809","San Francisco",94109,37.787167,-122.424149,8,200
"43 Uranus Terrace","San Francisco",94114,37.761275,-122.445273,8,200
"64 Valley Street","San Francisco",94110,37.744723,-122.423662,8,200
"155 Valmar Terrace","San Francisco",94112,37.725074,-122.42481,8,200
"539 Vicente Street","San Francisco",94116,37.739186,-122.472912,8,200
"51 Vienna Street","San Francisco",94112,37.727497,-122.42475,8,200
"251 Waller Street","San Francisco",94102,37.77121,-122.427724,8,200
"1385 Waller Street","San Francisco",94117,37.768988,-122.446289,8,200
"681 10th Avenue","San Francisco",94118,37.775533,-122.468486,8,200
"325 15th Avenue","San Francisco",94118,37.781945,-122.474376,8,200
"3737 16th Street","San Francisco",94114,37.763891,-122.436177,8,200
"1970 17th Avenue","San Francisco",94116,37.751219,-122.473786,8,200
"4122 19th Avenue","San Francisco",94132,37.713897,-122.469142,8,200
"3936 20th Street","San Francisco",94114,37.758284,-122.42888,8,200
"1911 21st Avenue","San Francisco",94116,37.751988,-122.47875,8,200
"318 22nd Avenue","San Francisco",94121,37.781763,-122.481302,8,200
"3380 23rd Street","San Francisco",94110,37.753927,-122.420387,8,200
"2939 24th Avenue","San Francisco",94132,37.733683,-122.480464,8,200
"2207 25th Street","San Francisco",94107,37.751823,-122.400799,8,200
"3262 25th Street","San Francisco",94110,37.751006,-122.415389,8,200
"3338 25th Street","San Francisco",94110,37.750895,-122.416991,8,200
"4521 25th Street #1","San Francisco",94114,37.749084,-122.439743,8,200
"146 26th Avenue","San Francisco",94121,37.786654,-122.48596,8,200
"2966 26th Avenue","San Francisco",94132,37.733091,-122.481652,8,200
"1634 27th Avenue","San Francisco",94122,37.756919,-122.48493,8,200
"144 27th Street","San Francisco",94110,37.747348,-122.423574,8,200
"516 29th Street","San Francisco",94131,37.743414,-122.431685,8,200
"577 29th Street","San Francisco",94131,37.743091,-122.432659,8,200
"1474 31st Avenue","San Francisco",94122,37.759772,-122.489429,8,200
"2774 34th Avenue","San Francisco",94116,37.735818,-122.491092,8,200
"1825 39th Avenue","San Francisco",94122,37.752725,-122.498191,8,200
"2206 39th Avenue","San Francisco",94116,37.745636,-122.497123,8,200
"818 44th Avenue","San Francisco",94121,37.77308,-122.50432,8,200
"2204 47th Avenue","San Francisco",94116,37.74526,-122.505656,8,200
"1561 48th Avenue #1","San Francisco",94122,37.757312,-122.508187,8,200
"726 4th Avenue","San Francisco",94118,37.774988,-122.461369,8,200
"402 8th Avenue","San Francisco",94118,37.78082,-122.466446,8,200
"772 8th Avenue #1","San Francisco",94118,37.773909,-122.465591,8,200
"1778 9th Avenue","San Francisco",94122,37.755154,-122.465364,8,200
"2019 9th Avenue","San Francisco",94116,37.750549,-122.465698,8,200
"450 Andover Street","San Francisco",94110,37.737587,-122.416807,8,200
"4832 Anza Street","San Francisco",94121,37.777698,-122.500237,8,200
"45 Aquavista Way","San Francisco",94131,37.75261,-122.449537,8,200
"1277 Arguello Boulevard","San Francisco",94122,37.764851,-122.458103,8,200
